,Station_id,Inspection Station,latitude,longitude,Overall_inspection_count,Emissions_inspection_count,Overall_fails,Safety_fails,Emissions_fails,Overall_fail_rate,Safety_fail_rate,Emissions_fail_rate,Overall_fail_rate_per_station,Safety_fail_rate_per_station,Emissions_fail_rate_per_station
250,PB005108,KING PETROLEUM,42.421651,-71.095346,3995,3444,409,193,237,0.001047794,0.000834353,0.001347885,0.102377972,0.048310388,0.068815331
251,PB013471,BEVERLY AUTO CENTER LLC,42.572186,-70.876341,5306,4528,409,249,177,0.001047794,0.001076445,0.001006648,0.077082548,0.046928006,0.039090106
252,FL045011,NORTH READING TRANSPORTATION (LOWELL),42.639854,-71.325128,3295,3106,409,135,298,0.001047794,0.000583615,0.001694809,0.124127466,0.040971168,0.095943335
253,PB016644,HERB CHAMBERS BMW MINI,42.350265,-71.128068,5946,5755,408,5,403,0.001045232,2.16E-05,0.002291974,0.068617558,0.000840901,0.070026064
254,PB010702,EDW SERVICE INC,42.070663,-72.018139,2423,1651,405,322,115,0.001037546,0.001392029,0.000654037,0.167148163,0.132893108,0.069654755
255,PB050595,GEORGETOWN MOBIL INC.,42.724617,-70.991779,4738,4120,405,282,143,0.001037546,0.001219106,0.000813281,0.085479105,0.059518784,0.034708738
256,PB007001,CONCORD MOBIL,42.456078,-71.355457,5100,4411,404,294,126,0.001034985,0.001270983,0.000716597,0.079215686,0.057647059,0.028564951
257,PB004635,FRANK'S AUTO INSPECTION & REPAIRS LLC,42.502504,-71.071005,6930,5742,403,193,220,0.001032423,0.000834353,0.001251201,0.058152958,0.027849928,0.038314176
258,PB005360,SPARKS COMPUTERIZED CAR CARE,41.643272,-70.997894,4173,3687,402,290,127,0.001029861,0.001253691,0.000722284,0.096333573,0.069494369,0.034445349
259,PB007092,READING PETROLEUM INC,42.51937,-71.103356,6889,6093,401,224,190,0.001027299,0.000968368,0.001080583,0.058208739,0.032515605,0.031183325
260,PB005178,"T & M AUTO SALES, INC.",42.688146,-73.11085,3703,3061,401,273,149,0.001027299,0.001180199,0.000847405,0.108290575,0.073724008,0.048676903
261,PB007248,"LION GAS AND AUTO SERVICE, INC.",42.587024,-70.885462,3517,3099,401,331,102,0.001027299,0.001430937,0.000580102,0.114017629,0.094114302,0.032913843
262,PB100036,Apple Automotive LLC,42.158359,-72.360017,4764,3587,401,290,131,0.001027299,0.001253691,0.000745034,0.084172964,0.060873216,0.036520769
